Caption,Channel,Angle / niche,Fits creator,Added,Added by,Times used,Last used,Days since used,Clicks,Subs,Status,Notes
"trust me on this one, go check her out 👀",Feed,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] makes the kind of content that keeps me coming back,Feed,curiosity gap,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
no but seriously her page is a whole vibe,Feed,introduction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"she's one of my faves, you'd love her 🤍",Feed,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
the way she does things... just go look 💗,Feed,curiosity gap,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] is unmatched honestly 🤭,Story,confident prediction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go follow her right now i mean it,Story,introduction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's so good i can't even,Story,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
this is your sign to check her out 💕,Story,curiosity gap,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
[name] does it better,Story,confident prediction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
trust me you'll thank me later 🤍,Story,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
go see what i'm talking about,Story,introduction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just go look i promise 🌸,Story,curiosity gap,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
okay so you need to follow [name] asap,MM,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's doing her thing and it's so good,MM,confident prediction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"real talk, [name] has some of the best content i've seen",MM,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
just a heads up that [name] is incredible,MM,introduction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
i wouldn't hype her up if she wasn't worth your time 💕,MM,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
"[name] gets it, you know?",MM,confident prediction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
doing you a solid telling you about her,MM,personal endorsement,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
she's genuinely worth the follow,MM,introduction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
between us [name] is next level 🤍,MM,confident prediction,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
you'd be sleeping on her if you didn't check it out,MM,curiosity gap,Marissa,2026-08-09,,0,,,,,Resting,AI draft — read it before it goes Active
